Identifier,Currency,Tenor,Yield
EUR_EONIA_1D,EUR,1D,-0.00571
EUR_EONIA_1D,EUR,1W,-0.00586
EUR_EONIA_1D,EUR,1M,-0.00643
EUR_EONIA_1D,EUR,2M,-0.00532
EUR_EONIA_1D,EUR,3M,-0.00456
EUR_EONIA_1D,EUR,6M,-0.00328
EUR_EONIA_1D,EUR,12M,-0.00234
EUR_EONIA_1D,EUR,18M,-0.00221
EUR_EONIA_1D,EUR,2Y,-0.001324
EUR_EONIA_1D,EUR,3Y,-0.00101
EUR_EONIA_1D,EUR,5Y,-0.0009102
EUR_EONIA_1D,EUR,7Y,-0.001324
EUR_EONIA_1D,EUR,10Y,-0.00165
EUR_EONIA_1D,EUR,12Y,-0.0018
EUR_EONIA_1D,EUR,15Y,-0.0019
EUR_EONIA_1D,EUR,20Y,-0.0019
EUR_EONIA_1D,EUR,25Y,-0.0019
EUR_EONIA_1D,EUR,30Y,-0.0019
EUR_EONIA_1D,EUR,40Y,-0.0019
EUR_EONIA_1D,EUR,50Y,-0.0019
EUR_EONIA_1D,EUR,60Y,-0.0019
EUR_EURIBOR_1M,EUR,1D,-0.00571
EUR_EURIBOR_1M,EUR,1W,-0.00586
EUR_EURIBOR_1M,EUR,1M,-0.00643
EUR_EURIBOR_1M,EUR,2M,-0.00532
EUR_EURIBOR_1M,EUR,3M,-0.00456
EUR_EURIBOR_1M,EUR,6M,-0.00328
EUR_EURIBOR_1M,EUR,12M,-0.00234
EUR_EURIBOR_1M,EUR,18M,-0.00221
EUR_EURIBOR_1M,EUR,2Y,-0.001324
EUR_EURIBOR_1M,EUR,3Y,-0.00101
EUR_EURIBOR_1M,EUR,5Y,-0.0009102
EUR_EURIBOR_1M,EUR,7Y,-0.001324
EUR_EURIBOR_1M,EUR,10Y,-0.00165
EUR_EURIBOR_1M,EUR,12Y,-0.0018
EUR_EURIBOR_1M,EUR,15Y,-0.0019
EUR_EURIBOR_1M,EUR,20Y,-0.0019
EUR_EURIBOR_1M,EUR,25Y,-0.0019
EUR_EURIBOR_1M,EUR,30Y,-0.0019
EUR_EURIBOR_1M,EUR,40Y,-0.0019
EUR_EURIBOR_1M,EUR,50Y,-0.0019
EUR_EURIBOR_1M,EUR,60Y,-0.0019
EUR_EURIBOR_3M,EUR,1D,-0.00571
EUR_EURIBOR_3M,EUR,1W,-0.00586
EUR_EURIBOR_3M,EUR,1M,-0.00643
EUR_EURIBOR_3M,EUR,2M,-0.00532
EUR_EURIBOR_3M,EUR,3M,-0.00456
EUR_EURIBOR_3M,EUR,6M,-0.00328
EUR_EURIBOR_3M,EUR,12M,-0.00234
EUR_EURIBOR_3M,EUR,18M,-0.00221
EUR_EURIBOR_3M,EUR,2Y,-0.001324
EUR_EURIBOR_3M,EUR,3Y,-0.00101
EUR_EURIBOR_3M,EUR,5Y,-0.0009102
EUR_EURIBOR_3M,EUR,7Y,-0.001324
EUR_EURIBOR_3M,EUR,10Y,-0.00165
EUR_EURIBOR_3M,EUR,12Y,-0.0018
EUR_EURIBOR_3M,EUR,15Y,-0.0019
EUR_EURIBOR_3M,EUR,20Y,-0.0019
EUR_EURIBOR_3M,EUR,25Y,-0.0019
EUR_EURIBOR_3M,EUR,30Y,-0.0019
EUR_EURIBOR_3M,EUR,40Y,-0.0019
EUR_EURIBOR_3M,EUR,50Y,-0.0019
EUR_EURIBOR_3M,EUR,60Y,-0.0019
EUR_EURIBOR_6M,EUR,1D,-0.00571
EUR_EURIBOR_6M,EUR,1W,-0.00586
EUR_EURIBOR_6M,EUR,1M,-0.00643
EUR_EURIBOR_6M,EUR,2M,-0.00532
EUR_EURIBOR_6M,EUR,3M,-0.00456
EUR_EURIBOR_6M,EUR,6M,-0.00328
EUR_EURIBOR_6M,EUR,12M,-0.00234
EUR_EURIBOR_6M,EUR,18M,-0.00221
EUR_EURIBOR_6M,EUR,2Y,-0.001324
EUR_EURIBOR_6M,EUR,3Y,-0.00101
EUR_EURIBOR_6M,EUR,5Y,-0.0009102
EUR_EURIBOR_6M,EUR,7Y,-0.001324
EUR_EURIBOR_6M,EUR,10Y,-0.00165
EUR_EURIBOR_6M,EUR,12Y,-0.0018
EUR_EURIBOR_6M,EUR,15Y,-0.0019
EUR_EURIBOR_6M,EUR,20Y,-0.0019
EUR_EURIBOR_6M,EUR,25Y,-0.0019
EUR_EURIBOR_6M,EUR,30Y,-0.0019
EUR_EURIBOR_6M,EUR,40Y,-0.0019
EUR_EURIBOR_6M,EUR,50Y,-0.0019
